time,x_h2o
-0.012883546,840.5089275
-0.000484493,802.9966353
-0.008750528,771.7187804
-0.008750528,739.1729044
-0.008750528,706.6270284
-0.00461751,672.108675
-0.00461751,639.562799
-0.00461751,607.016923
-0.00461751,574.4710469
-0.00169078,538.1147033
-0.00461751,509.3792949
-0.000484493,475.8471802
0.008384687,443.7239779
0.01419695,410.2623088
0.059790333,375.9905151
0.015825108,340.9283148
0.056473043,533.5421422
0.089064229,401.1396011
0.140038117,441.612744
0.178914522,470.6694272
0.238128409,500.4834221
0.282947876,532.9816991
0.322809354,565.7547061
0.420111384,640.4504138
0.370366525,589.5038485
0.485189607,666.7516059
0.547328246,683.5863224
0.638285951,728.8634071
0.583689905,707.2610389
0.672178245,748.0549056
0.693732331,772.9515787
0.76518619,818.697638
0.752880206,797.0701027
0.867236687,871.2675408
0.838518145,846.4263595
0.935085417,898.3557184
1.004140434,911.6118986
1.091872143,937.776716
1.179590528,967.4167103
1.265321129,1001.709638
1.349422745,1031.971992
1.454940959,1067.186919
1.66877322,1119.63193
1.536998173,1099.518678
1.601317029,1119.20688
1.718850962,1139.944436
1.809777356,1159.848525
1.90070375,1190.943356
1.965022606,1214.990002
2.050731388,1239.079157
2.006048741,1230.286815
2.100898042,1245.697298
2.152884467,1246.174356
2.189939749,1260.784329
2.332347045,1294.111269
2.240036386,1263.599277
2.390447305,1296.632337
2.287904933,1279.707559
2.436936965,1309.746904
2.501875317,1308.025395
2.641720245,1323.224977
2.570032654,1313.55214
2.71395907,1336.626326
2.825527289,1348.714141
2.77305035,1349.306743
2.878417094,1352.404368
2.992636208,1374.389366
3.137563744,1381.332304
3.059367638,1377.977598
3.223269484,1386.332554
3.271575367,1398.274672
3.319416533,1401.724502
3.405122273,1406.512714
3.489332513,1414.644101
3.592657961,1416.627731
3.677901455,1421.320097
3.763607195,1430.585864
3.841496785,1428.997894
3.919638509,1436.840615
4.011719116,1435.306754
4.129174937,1441.053792
4.22345982,1434.788971
4.306636806,1428.566573
4.411035249,1423.386714
4.500673593,1430.029847
4.579415989,1427.846852
4.632628594,1435.714463
4.6858412,1435.159477
4.769018186,1444.252151
4.852651019,1442.50654
4.931293521,1443.294226
5.016999261,1438.93997
5.105957551,1438.692151
5.179250348,1439.05803
5.254904869,1442.053127
5.372438802,1440.922121
5.458930606,1441.512744
5.55429159,1444.802167
5.640783395,1450.473005
5.736144379,1447.313266
5.827070773,1446.838511
5.917997167,1450.453225
5.954264188,1454.558479
5.99239149,1441.572083
2.851441242,1358.730159
2.798226164,1355.555556
2.935698448,1368.253968
