Time [ms], [OH] ppm
-0.0011617853408903145, 51.72828491042037
-0.0001473339569691423, 142.02369382046038
0.0007957202993451873, 235.31675280762244
0.0017711646398503034, 323.4496387604784
0.0028829513564078146, 397.81207647018
0.003724275023386292, 446.2088515454339
0.004765886008285397, 454.3053839119376
0.00582411800080182, 457.2973589721898
0.006896924695977524, 453.50536198152463
0.007937032273152511, 445.95894165889644
0.009875116931711891, 426.46323664455684
0.008882717492984055, 436.7007900395877
0.010943054256314338, 417.6181112891305
0.011947772794805522, 408.00653804386116
0.012984681945743731, 400.30899944434753
0.013881314312441523, 393.791165281482
0.01479595416276902, 384.4111083423396
0.015856937489682504, 377.077380641801
0.016841674462114126, 370.86868940868624
0.017782390084190802, 364.3248479004766
0.01880888346919679, 357.4026156969821
0.01971877923292789, 352.2032924034499
0.02074310102899901, 346.12609811113015
0.021685570626753886, 342.1836127401508
0.02262102432179605, 336.76478122566346
0.02369474976613653, 332.8410635979849
0.024787476613657655, 328.1764925254523
0.025674111318989695, 324.316470959424
0.02661775023386337, 319.9056736523419
0.027724759454764047, 317.12702536573
0.028743902846451896, 313.7512816041786
0.02972322263797933, 308.75801493093064
0.030712932647333935, 305.34922469355564
0.03177537418147794, 302.7922535957447
0.032765084190832516, 299.6073037035694
0.033733980355472315, 294.656689376899
0.03463014499532269, 290.3011275395752
0.03690810629092614, 284.8385896550247
0.03784867574836298, 280.0822818033126
0.03873388012829079, 276.33645567493403
0.039762043966323685, 273.52182927112307
0.04082531863891489, 270.648350510753
0.0417370205799813, 267.0134016734227
0.04267493599527347, 265.4094350314849
0.04487768327507263, 258.4701424071968
0.04573491580916744, 255.59415368503346
0.04682225764364134, 253.4386035726098
0.04780109915809172, 250.06962293244106
0.04885282682413475, 247.59146670177125
0.04989001110851263, 244.12721579928973
0.0508336500233863, 240.84633902424406
0.05186054298834933, 237.96421012370666
0.052849041159962584, 234.38530071654327
0.05485348456501404, 228.5465855246356
0.05584740411599623, 225.23132513254365
0.05685792797006553, 222.00000681155598
0.05782550865294667, 218.51482905706348
0.059821266439223086, 212.30797992996327
0.05884456852198314, 215.60366101280897
0.0608433699719364, 210.53308830021854
0.06279889809057398, 204.36390712501225
0.061788470533208545, 207.03068593678643
0.06383477549111319, 201.8064513592666
0.06479581659604905, 198.83965558384534
0.06583313844714686, 197.34858757129803
0.06675806828811975, 194.1638921076094
0.06787096585594016, 191.85078263202024
0.06886130437324606, 188.7463667857835
0.06988942644995325, 187.81290789513253
0.07081501403180548, 184.0085375797031
0.07179682279834293, 181.38144930618932
0.07383828344246962, 177.44702117352665
0.07490236202058001, 174.23387058570506
0.07680513330215161, 170.53441823551043
0.07774709132366686, 167.71335409659594
0.07875043849391952, 166.2805387127221
0.07977958372310565, 164.06785117103266
0.0818457670720299, 160.11663855122356
0.08277633714851695, 158.5972249231006
0.08404458439128693, 155.92957485366696
0.0858343077642657, 153.06272615168712
0.08780694574368578, 149.67854501126658
0.08913160664172129, 148.7583405296159
0.0868159187139971, 151.58979792490004
0.09048731290926093, 146.09494675255246
0.09277701122544432, 142.4920829536518
0.09391311973807293, 140.93471451507253
0.09500935453695042, 137.51894464021336
0.0967288353601497, 134.53345783573388
0.09870147333956975, 131.99342816143064
0.09992574836295606, 130.37636332605905
0.03582787652011224, 287.77916027137223
0.04377923292797009, 261.8463050588162
0.05378858746492049, 231.04798060068822
0.07277829747427503, 178.62624537949432
0.07586529466791397, 172.13710299980892
0.08091674462114126, 161.32237026003963
